"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"SIRPG",2.94013044262604e-291,0.52903200883221,0.626,0.259,4.46282399886207e-287,"0","SIRPG",0.367
"KIR2DL4",1.67854744487348e-272,0.574884858827956,0.381,0.098,2.54786716657345e-268,"0","KIR2DL4",0.283
"LAG3",6.49083701483733e-260,0.509199507806671,0.471,0.162,9.85244150482159e-256,"0","LAG3",0.309
"CRTAM",3.9020881511919e-249,0.538030754785153,0.533,0.22,5.92297960469418e-245,"0","CRTAM",0.313
"KLRC4-KLRK1",3.07833828214593e-235,0.530210741871739,0.547,0.22,4.6726096784693e-231,"0","KLRC4-KLRK1",0.327
"KLRB1",3.20427333967914e-230,0.517631659944472,0.622,0.312,4.86376650229896e-226,"0","KLRB1",0.31
"FGFBP2",0,1.38970759988358,0.86,0.137,0,"1","FGFBP2",0.723
"CX3CR1",0,1.19903151494883,0.869,0.182,0,"1","CX3CR1",0.687
"FCRL6",0,1.16627448377005,0.912,0.26,0,"1","FCRL6",0.652
"KLRF1",0,1.1225259337416,0.654,0.108,0,"1","KLRF1",0.546
"S1PR5",0,1.10241550384375,0.758,0.116,0,"1","S1PR5",0.642
"GZMH",0,1.00620013032906,0.95,0.429,0,"1","GZMH",0.521
"FCGR3A",0,0.94696302494128,0.828,0.345,0,"1","FCGR3A",0.483
"PTGDR",0,0.941681298689181,0.607,0.101,0,"1","PTGDR",0.506
"SPON2",0,0.889159059608554,0.716,0.247,0,"1","SPON2",0.469
"KLRC4-KLRK11",0,0.873789962219421,0.853,0.265,0,"1","KLRC4-KLRK1",0.588
"TGFBR3",0,0.870003558395299,0.789,0.277,0,"1","TGFBR3",0.512
"KLRG1",0,0.866583966764189,0.787,0.342,0,"1","KLRG1",0.445
"PRF1",0,0.845217874783468,0.99,0.578,0,"1","PRF1",0.412
"NKG7",0,0.837634061255367,0.999,0.604,0,"1","NKG7",0.395
"ADGRG1",0,0.83564262729244,0.814,0.308,0,"1","ADGRG1",0.506
"PLEK",0,0.832266878758258,0.962,0.492,0,"1","PLEK",0.47
"SAMD3",0,0.816574362985364,0.898,0.404,0,"1","SAMD3",0.494
"LINC00861",0,0.803905078941998,0.905,0.383,0,"1","LINC00861",0.522
"FGR",0,0.781950853364063,0.774,0.272,0,"1","FGR",0.502
"S1PR1",0,0.77016323237689,0.846,0.271,0,"1","S1PR1",0.575
"CTSW",0,0.766672364834778,0.987,0.604,0,"1","CTSW",0.383
"C1ORF21",0,0.742394700687758,0.626,0.161,0,"1","C1ORF21",0.465
"TBX21",0,0.726031135512047,0.581,0.127,0,"1","TBX21",0.454
"GZMA1",0,0.709075264602301,0.988,0.607,0,"1","GZMA",0.381
"CST71",0,0.677723616961448,0.997,0.634,0,"1","CST7",0.363
"PYHIN1",0,0.670336144062446,0.947,0.545,0,"1","PYHIN1",0.402
"FCGR3B",0,0.501053024595046,0.526,0.07,0,"1","FCGR3B",0.456
"GNLY",4.16927639658413e-307,0.860336905875399,0.9,0.526,6.32854464237505e-303,"1","GNLY",0.374
"KLRK1",2.11938577214945e-305,0.708957066672772,0.943,0.614,3.21701566354566e-301,"1","KLRK1",0.329
"PZP",1.33757518087352e-304,0.626923713188732,0.502,0.1,2.03030536704791e-300,"1","PZP",0.402
"KLRD1",1.966792062131e-301,0.702978769075528,0.978,0.823,2.98539367110865e-297,"1","KLRD1",0.155
